id,date_start,type_of_violence,conflict_name,dyad_name,side_a,side_b,country,adm_1,adm_2,latitude,longitude,best,low,high,deaths_civilians,deaths_a,deaths_b,deaths_unknown,where_description,active_year,month
489880,2023-07-30,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Luhansk oblast,Severodonetsk raion,49.00548,38.1458,1,1,1,0,0,1,0,near the village of Kuzmine in the Luhansk direction,True,2023-07
437715,2022-03-03,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,Ukraine,Chernihiv oblast,Chernihiv raion,51.343628,31.274119,1,1,1,1,0,0,0,Yahidne,True,2022-03
506104,2023-12-25,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kherson oblast,Kakhovka raion,46.94611,33.70519,1,1,1,1,0,0,0,Kakhovka and Cairo.,True,2023-12
528405,2024-06-26,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kherson oblast,,46.6406,32.61589,1,1,1,1,0,0,0,Kherson region,True,2024-06
446850,2022-09-08,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,,,47.333839,33.565379,2,2,59,0,2,0,0,southern direction,True,2022-09
474428,2023-02-14,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.592436,37.99993,70,70,70,0,0,70,0,Bakhmut,True,2023-02
453587,2022-10-08,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,,,49.0,32.0,31,31,0,0,31,0,0,Ukraine,True,2022-10
541614,2024-03-10,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kharkiv oblast,Kupiansk raion,49.76293,37.69374,1,1,1,0,0,1,0,"Syn'kivka, Petropavlivska rural community, Kupiansk District, Kharkiv Oblast",True,2024-03
533021,2024-01-24,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Ternopil oblast,Ternopil raion,49.55404,25.59067,1,1,1,0,0,1,0,Ternopil Oblast	Ternopil District	Ternopilska urban community	Ternopil',True,2024-01
463843,2023-02-13,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Kramatorsk raion,49.0475,37.8318,1,1,1,1,0,0,0,Donetsk region — in Stavky,True,2023-02
533226,2024-01-31,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.53001,37.96052,2,2,2,0,0,2,0,Bakhmut District	Bakhmutska urban community	Klishchiyivka,True,2024-01
459327,2022-12-25,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,48.107198,37.551757,2,2,2,0,0,2,0,area of ​​the settlement of Netaylovo,True,2022-12
477246,2023-06-04,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kherson oblast,Kherson raion,46.72185,32.81139,2,2,2,0,0,2,0,near the settlement of Nikolskoe.,True,2023-06
533363,2023-12-02,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,,48.14,37.74,2,2,2,0,0,2,0,Donetsk Oblast,True,2023-12
520242,2024-04-25,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,,48.5,38.0,2,2,9,0,2,0,0,Donetsk direction,True,2024-04
554208,2024-11-14,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Luhansk oblast,Severodonetsk raion,48.90421,38.44094,1,1,1,1,0,0,0,Lysychansk,True,2024-11
533459,2023-12-04,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Kramatorsk raion,48.766929,37.517175,1,1,1,0,0,1,0,Kramatorsk District,True,2023-12
471474,2023-03-09,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,48.2273,37.62023,1,1,1,0,1,0,0,village of Novobakhmutovka.,True,2023-03
